City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Lincoln,US,40.8,-96.667,60.8,82,90,8.05,overcast clouds
1,Zapolyarnyy,RU,69.4154,30.8136,35.6,100,90,1.14,fog
2,Mount Isa,AU,-20.7333,139.5,75.2,15,0,14.97,clear sky
3,Mar Del Plata,AR,-38.0023,-57.5575,52.0,100,0,2.3,clear sky
4,Bengkulu,ID,-3.8004,102.2655,85.21,68,100,4.83,overcast clouds
5,Norman Wells,CA,65.282,-126.8329,46.4,57,75,4.61,broken clouds
6,Neuquen,AR,-38.9516,-68.0591,42.8,93,0,2.3,clear sky
7,Vagay,RU,57.9375,69.0217,77.77,36,80,10.89,broken clouds
8,Bethel,US,41.3712,-73.414,52.0,87,1,2.06,clear sky
9,Lasa,IT,46.6166,10.7002,48.0,93,75,5.75,broken clouds
10,Tuktoyaktuk,CA,69.4541,-133.0374,33.8,80,1,14.97,clear sky
11,Port-Gentil,GA,-0.7193,8.7815,80.83,80,91,8.34,light rain
12,George Town,MY,5.4112,100.3354,89.01,79,20,2.3,few clouds
13,Sao Filipe,CV,14.8961,-24.4956,74.75,65,100,8.61,overcast clouds
14,Arraial Do Cabo,BR,-22.9661,-42.0278,70.52,79,5,12.97,clear sky
15,Tasiilaq,GL,65.6145,-37.6368,28.4,59,9,1.14,clear sky
16,Hermanus,ZA,-34.4187,19.2345,48.99,95,2,6.55,clear sky
17,Salalah,OM,17.0151,54.0924,82.4,42,0,4.61,clear sky
18,Constitucion,CL,-35.3333,-72.4167,56.88,58,100,5.73,overcast clouds
19,Garden City,US,42.3256,-83.331,59.0,62,75,3.44,broken clouds
20,Huarmey,PE,-10.0681,-78.1522,65.79,86,4,7.25,clear sky
21,Georgetown,MY,5.4112,100.3354,89.01,79,20,2.3,few clouds
22,Padang,ID,-0.9492,100.3543,84.2,74,40,3.44,light rain
23,Lavrentiya,RU,65.5833,-171.0,32.11,83,99,1.39,overcast clouds
24,Severo-Kurilsk,RU,50.6789,156.125,39.49,94,100,12.12,overcast clouds
25,Vaini,TO,-21.2,-175.2,80.6,83,40,6.91,scattered clouds
26,Loukhi,RU,66.0764,33.0381,45.72,71,71,5.86,broken clouds
27,Sault Sainte Marie,CA,46.5168,-84.3333,53.6,58,1,3.44,clear sky
28,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,42.8,75,75,11.18,broken clouds
29,Jamestown,US,42.097,-79.2353,50.0,57,1,3.44,clear sky
30,Saint Anthony,US,45.0205,-93.218,66.0,63,1,5.75,clear sky
31,Saint George,US,37.1041,-113.5841,75.2,16,1,8.05,clear sky
32,Aljezur,PT,37.3191,-8.8033,57.67,91,47,8.63,scattered clouds
33,Kizukuri,JP,40.8061,140.3861,64.4,94,75,8.05,broken clouds
34,Aklavik,CA,68.2191,-135.0107,51.8,43,98,12.66,overcast clouds
35,Rikitea,PF,-23.1203,-134.9692,75.11,60,100,10.36,overcast clouds
36,Koszalin,PL,54.1944,16.1722,48.0,100,11,6.33,few clouds
37,Turukhansk,RU,65.8167,87.9833,30.2,55,9,5.91,clear sky
38,Manaure,CO,11.7751,-72.4445,81.1,75,88,14.0,overcast clouds
39,Cape Town,ZA,-33.9258,18.4232,48.2,93,0,5.75,clear sky
40,Baykit,RU,61.67,96.37,36.73,37,32,8.16,scattered clouds
41,Svetlogorsk,BY,52.6333,29.7333,57.51,88,100,3.85,overcast clouds
42,Kapaa,US,22.0752,-159.319,78.8,57,40,17.27,scattered clouds
43,Zhigansk,RU,66.7697,123.3711,54.57,42,87,9.33,overcast clouds
44,Thompson,CA,55.7435,-97.8558,32.0,69,40,9.22,scattered clouds
45,Busselton,AU,-33.65,115.3333,72.0,60,84,5.99,broken clouds
46,Butaritari,KI,3.0707,172.7902,83.3,77,45,13.15,scattered clouds
47,Hermsdorf,DE,50.9,11.8667,46.99,93,96,1.01,overcast clouds
48,Praia Da Vitoria,PT,38.7333,-27.0667,64.99,82,40,19.44,scattered clouds
49,Valparaiso,CL,-33.0393,-71.6273,55.0,78,100,5.68,overcast clouds
50,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,72.14,98,100,1.92,overcast clouds
51,Unity,CA,52.4501,-109.1682,62.85,51,69,10.85,broken clouds
52,Port Macquarie,AU,-31.4333,152.9167,66.99,45,0,1.99,clear sky
53,Kearney,US,40.6995,-99.0815,60.8,88,90,16.11,overcast clouds
54,Tabou,CI,4.423,-7.3528,78.51,86,100,5.12,light rain
55,Broome,US,42.2506,-75.833,53.6,71,90,9.22,overcast clouds
56,Rognan,NO,67.0953,15.3878,52.0,74,62,1.99,broken clouds
57,Mataura,NZ,-46.1927,168.8643,50.0,79,68,7.0,light rain
58,Avarua,CK,-21.2078,-159.775,77.0,73,20,13.8,light rain
59,Atuona,PF,-9.8,-139.0333,79.45,73,1,13.47,clear sky
60,Dikson,RU,73.5069,80.5464,26.92,77,100,11.88,overcast clouds
61,Doha,QA,25.2867,51.5333,87.8,62,0,3.44,clear sky
62,Half Moon Bay,US,37.4636,-122.4286,57.2,87,90,6.91,overcast clouds
63,Yellowknife,CA,62.456,-114.3525,39.2,65,75,6.91,broken clouds
64,Punta Arenas,CL,-53.15,-70.9167,44.6,87,90,19.57,overcast clouds
65,Rio Grande,BR,-32.035,-52.0986,46.99,95,53,4.88,broken clouds
66,Skerries,IE,53.5828,-6.1083,45.0,93,0,6.91,clear sky
67,Buchanan,LR,5.8808,-10.0467,73.4,94,40,6.22,light rain
68,Port Hedland,AU,-20.3167,118.5667,86.0,19,39,16.11,scattered clouds
69,Tahta,EG,26.7693,31.5021,78.8,36,0,13.8,clear sky
70,Vanimo,PG,-2.6741,141.3028,85.87,70,69,7.72,broken clouds
71,Mayo,US,38.8876,-76.5119,60.8,77,90,4.61,overcast clouds
72,Hilo,US,19.7297,-155.09,78.8,65,75,8.05,light rain
73,Cidreira,BR,-30.1811,-50.2056,61.14,90,73,4.16,broken clouds
74,San Patricio,US,28.017,-97.5169,80.6,89,90,12.66,overcast clouds
75,Outjo,NA,-20.1167,16.15,56.34,40,19,4.16,few clouds
76,Lagoa,PT,39.05,-27.9833,64.22,89,100,24.45,overcast clouds
77,Tommot,RU,58.9564,126.2925,43.83,36,82,10.83,broken clouds
78,Tiksi,RU,71.6872,128.8694,30.6,88,100,7.74,overcast clouds
79,Dingle,PH,10.9995,122.6711,91.76,52,93,13.94,overcast clouds
80,Harper,LR,4.375,-7.7169,78.85,85,100,5.26,overcast clouds
81,Kholm,RU,59.2667,32.85,56.59,89,3,4.21,clear sky
82,Mnogovershinnyy,RU,53.9353,139.9242,43.86,63,40,2.13,scattered clouds
83,Lompoc,US,34.6391,-120.4579,55.4,76,49,6.91,scattered clouds
84,Poum,NC,-20.2333,164.0167,77.09,75,77,9.73,broken clouds
85,Lagos,NG,6.5833,3.75,82.4,83,20,4.03,few clouds
