City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Jamestown,US,2021-05-17 03:18:40,42.097,-79.2353,51.01,57,1,3.44
1,Qaanaaq,GL,2021-05-17 03:18:41,77.484,-69.3632,22.6,95,100,4.07
2,Yellowknife,CA,2021-05-17 03:14:13,62.456,-114.3525,39.2,65,75,6.91
3,Hiranagar,IN,2021-05-17 03:18:42,32.45,75.2667,93.47,18,3,2.95
4,Palu,ID,2021-05-17 03:18:43,-0.8917,119.8707,87.94,71,82,2.66
5,Hobart,AU,2021-05-17 03:18:43,-42.8794,147.3294,55.99,44,75,11.5
6,Nikolskoye,RU,2021-05-17 03:18:44,59.7035,30.7861,52.0,87,8,6.71
7,Staryy Nadym,RU,2021-05-17 03:18:44,65.6118,72.6842,43.21,67,98,8.43
8,Vaini,TO,2021-05-17 03:18:45,-21.2,-175.2,80.6,83,40,6.91
9,Marawi,PH,2021-05-17 03:18:46,7.9986,124.2928,93.0,66,90,4.54
10,Finnsnes,NO,2021-05-17 03:18:46,69.2296,17.9811,41.0,81,79,3.53
11,Paracatu,BR,2021-05-17 03:18:47,-17.2222,-46.8747,65.5,61,100,1.81
12,Port Moresby,PG,2021-05-17 03:18:47,-9.4431,147.1797,89.6,66,75,11.5
13,Paamiut,GL,2021-05-17 03:18:48,61.994,-49.6678,37.09,84,52,3.58
14,Hithadhoo,MV,2021-05-17 03:18:49,-0.6,73.0833,84.56,71,21,10.45
15,Kapaa,US,2021-05-17 03:18:49,22.0752,-159.319,78.8,57,40,17.27
16,Neiafu,TO,2021-05-17 03:18:50,-18.65,-173.9833,82.4,78,20,4.61
17,Punta Arenas,CL,2021-05-17 03:14:10,-53.15,-70.9167,44.6,87,90,19.57
18,Concordia,AR,2021-05-17 03:18:51,-31.393,-58.0209,54.0,100,52,5.08
19,Bambous Virieux,MU,2021-05-17 03:18:51,-20.3428,57.7575,77.0,73,75,11.5
20,Pastavy,BY,2021-05-17 03:18:52,55.1168,26.8326,54.72,95,100,8.21
21,Busselton,AU,2021-05-17 03:18:53,-33.65,115.3333,72.0,58,96,8.01
